lab,chemin_initial,verdict,chemin_retenu,source_type,source_ref,date_verif,note
mb800/labs/1.4-dimensions.md,Tell Me (Alt+Q) > Dimensions > New,verifie_lab_ms,Tell Me (Alt+Q) > Dimensions > New,labs-ms,labs-ms/Instructions/Labs/Lab11_Set_up_dimensions.md:29,2026-09-17,"Lab officiel : « enter Dimensions, and then choose the related link » puis l.30 « In the Dimensions page, select + New ». Page confirmée aussi dans la doc : docs-bc/business-central/finance-dimensions.md:82."
mb800/labs/1.4-dimensions.md,Tell Me (Alt+Q) > Dimensions > (sélectionner la dimension) > Related > Dimension > Dimension Values,corrige,Tell Me (Alt+Q) > Dimensions > (sélectionner la dimension) > Dimension > Dimension Values,labs-ms,labs-ms/Instructions/Labs/Lab11_Set_up_dimensions.md:33,2026-09-17,Le lab officiel décrit la MÊME page et la MÊME cible sans niveau Related : « Select Dimension and then Dimension Values ». Aucun niveau Related n'est attesté sur la page Dimensions dans le corpus ; la doc y décrit de la même façon l'action Account Type Default Dim sans Related (docs-bc/business-central/finance-dimensions.md:83).
mb800/labs/1.4-dimensions.md,Tell Me (Alt+Q) > General Ledger Setup,verifie_doc,Tell Me (Alt+Q) > General Ledger Setup,doc-bc,docs-bc/business-central/finance-dimensions.md:142,2026-09-17,"« enter General Ledger Setup, then choose the related link », suivi de l'onglet Dimensions ou se posent Global/Shortcut Dimension. Confirmé aussi dans le lab officiel labs-ms/Instructions/Labs/Lab11_Set_up_dimensions.md:132."
mb800/labs/1.4-dimensions.md,Sales > Customers > (ouvrir le client) > Related > Customer > Dimensions,corrige,Tell Me (Alt+Q) > Customers > (ouvrir le client) > Customer > Dimensions,labs-ms,labs-ms/Instructions/Labs/Lab15_Set_up_Accounts_Receivable.md:165,2026-09-17,"Lab officiel, sur la fiche client ouverte : « In the customer card, select Customer and then select Dimensions », puis l.166-169 la page Default Dimensions avec Dimension Code / Dimension Value Code / Value Posting — exactement les champs de l'étape. Pas de niveau Related. Réserve : le segment de tête « Sales > » n'est attesté nulle part dans le corpus (il dépend du Role Center) ; les labs officiels atteignent Customers par l'icône de recherche (labs-ms/Instructions/Labs/Lab15_Set_up_Accounts_Receivable.md:123). Prefixe 'Sales >' remplace par l'acces Tell Me : la barre de navigation depend du Role Center et n'est attestee nulle part dans le corpus, alors que la page l'est."
mb800/labs/1.4-dimensions.md,Tell Me (Alt+Q) > Chart of Accounts > (ouvrir le compte) > Related > G/L Account > Dimensions,corrige,Tell Me (Alt+Q) > Chart of Accounts > (sélectionner le(s) compte(s)) > Account > Dimensions-Multiple > Dimensions - Multiple,labs-ms,labs-ms/Instructions/Labs/Lab07_Configure_Chart_of_Accts.md:148,2026-09-17,"Lab officiel sur la page Chart of Accounts : « Select Account, then Dimensions-Multiple, and then select Dimensions - Multiple », vers la page Default Dimensions-Multiple (l.149). Le groupe de ruban est Account, pas G/L Account, et il n'y a pas de niveau Related. Réserve : le corpus n'atteste cette séquence que depuis la LISTE avec des comptes sélectionnés (l.147), pas depuis une fiche G/L Account ouverte ; la variante « Dimensions - Single » n'est attestée que sur Customers (labs-ms/Instructions/Labs/Lab11_Set_up_dimensions.md:155), je ne la transpose pas."
mb800/labs/1.4-dimensions.md,Tell Me (Alt+Q) > General Journals,verifie_lab_ms,Tell Me (Alt+Q) > General Journals,labs-ms,labs-ms/Instructions/Labs/Lab13_Manage_Accounting_Period.md:103,2026-09-17,"« enter General Journals, and then choose the related link ». Également labs-ms/Instructions/Labs/Lab23_Perform_Finance_Operations.md:60 et labs-ms/Instructions/Labs/Lab25_Process_Cash_Management.md:29."
mb800/labs/1.4-dimensions.md,Tell Me (Alt+Q) > Default Dimension Priorities,verifie_doc,Tell Me (Alt+Q) > Default Dimension Priorities,doc-bc,docs-bc/business-central/finance-dimensions.md:99,2026-09-17,"« enter Default Dimension Priorities, then choose the related link », puis l.100 la page Default Dimension Priorities et son champ Source Code."
mb800/labs/1.4-dimensions.md,Tell Me (Alt+Q) > Dimension Combinations,verifie_doc,Tell Me (Alt+Q) > Dimension Combinations,doc-bc,docs-bc/business-central/finance-dimensions.md:111,2026-09-17,"« enter Dimension Combinations, and then choose the related link » ; l.112-120 décrivent la matrice et les options Blocked / Limited / No limitation utilisées a l'étape. Confirmé aussi labs-ms/Instructions/Labs/Lab11_Set_up_dimensions.md:96."
mb800/labs/1.4-dimensions.md,Tell Me (Alt+Q) > Analysis by Dimensions,corrige,Tell Me (Alt+Q) > Analysis Views > (sélectionner la vue) > Analysis by Dimensions,doc-bc,docs-bc/business-central/bi-how-analyze-data-dimension.md:41,2026-09-17,"Le nom de page « Analysis by Dimensions » est attesté. Réserve : la doc n'y accède jamais directement par Tell Me — elle passe par « enter Analysis Views » (l.41) puis l'action Analysis by Dimensions (l.42). L'entrée directe dans Tell Me n'est pas attestée par le corpus. Harmonise avec le verdict sourcé du lab 2.9 : la doc n'ouvre jamais cette page par Tell Me, on passe par Analysis Views puis l'action."
mb800/labs/2.1-finance-setup.md,Tell Me (Alt+Q) > Chart of Accounts > New,verifie_lab_ms,Tell Me (Alt+Q) > Chart of Accounts > New,labs-ms,labs-ms/Instructions/Labs/Lab07_Configure_Chart_of_Accts.md:30,2026-09-17,"« enter Chart of Accounts and then choose the related link » puis l.34 « In the Chart of Accounts page, select + New ». Confirmé par la doc docs-bc/business-central/quick-start-financial-information.md:35-36 (« Choose the New action to open the G/L Account Card page »)."
